"kid_score","mom_hs","mom_iq"
65,1,121.117528602603
98,1,89.3618817100663
85,1,115.443164881725
83,1,99.4496394360723
115,1,92.7457099982118
98,0,107.901837758501
69,1,138.893106071162
106,1,125.145119475328
102,1,81.6195261789843
95,1,95.0730686206496
91,1,88.5769977185567
58,1,94.8597081943671
84,1,88.9628008509596
78,1,114.114297012333
102,0,100.534071915245
110,1,120.419145591086
102,1,114.426876891447
99,1,111.592357580831
105,1,133.849227208159
101,0,97.2648010634673
102,1,110.09680614075
115,1,126.72399416984
100,1,97.9115903092628
87,1,99.9257251603133
99,0,97.5950080521511
96,1,121.748013460479
72,1,98.7480786989934
78,1,97.9152543291671
77,1,80.3585564632336
98,1,114.307860633927
69,1,109.138316302971
130,1,101.817179733939
109,1,117.965104313227
106,0,108.633496913048
92,1,96.528619145464
100,1,92.8713754661642
107,1,95.8981342875886
86,1,107.015457730577
90,1,87.1970117452858
110,1,89.3618817100663
107,1,102.530987846246
113,1,130.166860235388
65,1,83.4141025980336
102,1,125.75346623026
103,0,85.8103765615827
111,1,126.520072628695
42,1,79.203048104857
100,1,113.165907175696
67,1,110.33138786508
92,1,99.4092237400546
100,1,102.425526488872
110,1,124.900437749856
56,1,94.8597081943671
107,1,92.3685645501674
97,1,101.817179733939
56,0,79.8335329627323
95,1,96.226139267492
78,0,82.3554723942338
76,0,76.5756473159814
86,1,110.013482886319
79,1,111.592357580831
81,1,113.657407368227
79,0,101.164556773121
79,1,101.341094009698
56,1,101.698163476419
52,1,98.8191545781969
63,1,93.4981963041352
80,1,87.2938898998626
87,1,87.316028002806
88,1,86.2094574206895
92,1,89.8379674343074
100,0,121.870014908527
94,0,127.544378629405
117,1,109.991344783376
102,1,90.4463141892395
107,1,88.8949026973177
99,1,113.046890918176
73,0,78.0131542683097
56,1,95.3896508777613
78,0,83.6164421099846
94,0,86.2462806103944
110,1,95.3896508777613
109,1,111.252314499127
86,1,127.014435946011
92,1,89.951950871924
91,1,99.2731021994947
123,1,81.1655785576865
102,1,110.52128746677
105,1,136.493846917085
114,1,123.862011656634
96,1,134.602392343459
66,1,91.0989371500582
104,1,103.269371773029
108,1,126.287072933559
84,1,127.544378629405
83,0,92.4738903034255
83,1,84.7940885713045
92,0,100.534071915245
109,0,108.003012055173
95,0,78.8071449713118
93,1,121.117528602603
114,1,103.056011346747
106,1,100.437193760669
87,1,88.5548596156134
65,1,85.3055571716597
95,1,119.448617651507
61,1,90.5517755466136
73,1,96.3340383364003
112,1,127.644920803886
113,1,119.856558886853
49,0,112.018920897562
105,1,92.5143059994432
122,1,96.023799755541
96,1,91.4168421288192
97,1,103.07814944969
94,1,100.243630139074
117,1,89.8158293313641
136,1,115.057361749322
85,0,96.650620593512
116,1,105.577950778248
106,1,97.7216907075729
99,1,131.835771186485
94,1,101.817179733939
89,1,93.4981963041352
119,1,104.026539286327
112,1,103.708634307566
104,0,107.368863177393
92,1,92.5511291891481
86,1,94.4425837627742
69,1,93.1447908573186
45,1,83.4141025980336
57,1,71.037405135663
94,1,127.66705890683
104,1,115.687846607198
89,0,90.9762568726337
144,1,132.865336903467
52,1,72.5022963925581
102,1,100.710609151823
106,1,132.688799666889
98,1,98.5457391870425
97,1,115.665708504254
94,1,117.062799760565
111,1,136.493846917085
100,1,106.548478717828
105,1,134.126306619218
90,1,104.657024144202
98,1,99.3785635568688
121,1,100.437193760669
106,1,89.5253875551931
121,1,120.92294779354
102,1,113.143769072753
64,1,126.414746875437
99,1,122.737163481443
81,1,115.375266728083
69,1,91.6067417305091
84,1,88.6603209729875
104,1,107.178963575703
104,1,104.969604023316
107,1,103.8630334412
88,1,110.09680614075
67,0,88.4543174411322
103,0,117.032139577379
94,1,125.656588075683
109,1,122.601041940883
94,1,121.049630448962
98,1,93.1447908573186
102,1,99.3785635568688
104,1,123.892807443936
114,0,113.043226898272
87,1,115.771169861628
102,1,114.938345491802
77,1,93.6208765815597
109,1,121.748013460479
94,1,90.3494360346627
93,0,83.4104385781293
86,1,99.4864626257772
97,1,113.910375471188
97,1,97.5950080521511
88,1,89.8158293313641
103,1,119.584739192066
87,0,97.3816476258686
87,1,84.8774118257353
90,1,102.328648334295
65,1,99.2731021994947
111,0,99.0750497482455
109,1,96.9277000045708
87,1,108.313250636032
58,1,100.534071915245
87,1,99.4864626257772
113,1,113.987614356911
64,0,92.7702011694918
78,0,88.0298361151122
97,0,106.111557481547
95,0,103.232548583324
75,1,99.295240302438
91,0,106.742042339422
99,1,99.1725600250135
108,1,102.447664591815
95,1,92.8677114462598
100,1,116.826136045524
85,1,85.4245734291798
97,0,115.565166329773
108,1,113.174564860055
90,1,106.861058596942
100,1,95.8302361339468
82,0,77.1092540192799
94,1,89.2908058308629
95,1,112.412742040396
119,1,110.643967744195
98,1,109.537397162078
100,0,107.901837758501
112,1,104.969604023316
136,0,107.682765778157
122,1,109.466321282875
126,1,133.532644951047
116,1,128.80901236506
98,1,101.270018130495
94,1,87.316028002806
93,1,118.090769781179
90,1,120.255639745959
70,1,90.3457720147583
110,1,79.9046088419358
104,1,136.577170171515
83,1,102.425526488872
99,1,132.688799666889
81,1,96.2972151466954
104,1,118.209786038699
109,1,118.090769781179
113,1,101.504599854825
95,0,94.3346846938659
74,1,84.67140829388
81,1,86.7688663993614
89,1,129.245933601341
93,1,127.781042344446
102,1,106.861058596942
95,1,105.754488014826
85,1,117.032139577379
97,1,119.35173949693
92,1,102.765569570576
78,0,108.205351567124
104,1,126.414746875437
120,1,101.90050298837
83,0,99.1562556370934
105,1,91.8127452623644
68,1,84.1414656104858
104,1,84.3548260367683
80,1,79.1197248504261
120,1,91.4168421288192
94,1,90.4463141892395
81,1,79.0007085929061
101,1,109.263981770924
61,1,76.7521845525589
68,1,97.5950080521511
110,1,128.80901236506
89,0,113.657407368227
98,0,114.206686337254
113,1,112.513284214877
50,0,75.3368157031739
57,0,81.5226480244075
86,1,102.638886915154
83,1,101.186694876064
106,1,112.222842438706
106,0,123.408064035336
104,1,86.5665268874105
78,1,100.116947483653
99,1,102.328648334295
91,1,87.9465128606813
40,0,80.2580142887524
42,0,80.2580142887524
69,1,91.0767990471149
84,1,85.5789725628141
58,1,113.165907175696
42,1,112.05933659358
72,1,101.270018130495
80,0,81.8328866052668
58,0,81.0945026784831
52,1,81.3290844028133
101,1,120.609045192776
63,1,102.447664591815
73,1,90.9762568726337
68,1,103.708634307566
60,1,102.328648334295
69,1,121.870014908527
73,0,88.6603209729875
75,0,90.0291897576466
20,0,83.5331188555537
56,1,91.9206443312728
49,1,87.1933477253815
71,0,80.4640178206077
46,0,84.3180028470634
54,0,77.7397388771553
54,0,82.272149139803
44,1,77.3826694104343
74,1,89.715287156883
58,0,79.9046088419358
46,1,82.1531328822829
76,0,80.2616783086568
43,0,77.3826694104343
60,0,82.7836177401583
58,1,89.2074825764321
89,1,89.088466318912
43,0,88.9872920222396
94,1,118.923594151005
88,1,83.8510238343148
79,1,84.044587455909
87,1,105.052927277747
46,1,107.999348035269
95,1,97.3816476258686
92,1,103.791957561996
42,0,97.5950080521511
62,1,88.6603209729875
52,1,107.246861729345
101,1,89.8379674343074
97,1,108.906912304203
85,1,100.63953327262
98,1,118.840270896574
94,1,95.5123311551858
90,1,84.7719504683612
72,1,100.747432341528
92,1,87.0034481236916
75,0,77.8587551346754
83,1,85.3018931517554
64,1,92.7702011694918
101,1,74.8607299789328
82,1,115.248584072661
77,1,107.372527197298
101,1,102.202982866342
50,1,97.9115903092628
90,1,96.8566241253673
103,1,111.465674925409
96,1,109.466321282875
50,1,82.2500110368597
47,1,92.7702011694918
73,1,115.568830349677
62,0,84.044587455909
77,1,116.199315207553
64,1,99.295240302438
52,1,87.1933477253815
61,1,76.7117688565413
86,1,80.6985995449379
41,0,82.4633714631422
83,1,85.1798917037074
64,1,93.0737149781151
83,1,88.5769977185567
116,1,103.056011346747
100,0,86.8767654682698
42,0,97.9152543291671
74,1,120.92294779354
76,1,91.7294220079335
92,1,87.5072503261452
98,1,90.4463141892395
96,1,84.1636037134291
67,1,96.6542846134164
